process_type,mean_p_scaling,mean_p_curved,mean_p_mrw,mean_p_mono,mean_boundary_mrw_score,mean_lambda2_proj,mean_residual_norm,mean_mono_residual_norm,mean_gain,mean_curvature_sig,mean_linearity_score,mean_tail_instability,T
"GARCH(1,1)",0.9972978095213573,0.2917940869927406,0.3854116559028625,0.5291748811801275,0.3433514143029849,0.003556444561278719,0.2205339256984492,0.23584083560854197,0.05662778965585555,0.15859762939314048,0.5027262181043625,0.5787467326154001,256
Low-lambda2 MRW,0.9999542593955993,0.5247344290216763,0.6640922158956528,0.6120217780272166,0.5853639920552571,0.06967508238109682,0.03920137559374173,0.05600307496885459,0.283826128517588,0.4959494029482206,0.7143525024255116,0.04003394272488852,256
MRW,0.9998638153076171,0.5211590088903904,0.661005329589049,0.6178226793805758,0.5783688175181548,0.0715565016882465,0.039954310314108926,0.058716266555711626,0.29843161069244767,0.4894934816285968,0.7066249489784241,0.02933607663726434,256
Regime-switching Gaussian,0.9966991523901622,0.3008171329895655,0.37863396455844245,0.443656687438488,0.3080327585339546,0.0025011743079327666,0.27308828085660936,0.2900315308943391,0.05906759033290048,0.15867367175718147,0.43102671106656393,0.8071341420187309,256
Shuffled MRW,0.9998693817191654,0.30275115403864117,0.4440174695518282,0.7309641841385099,0.45854084657298194,0.013890130417389122,0.050604838526083364,0.05144533125890626,0.0501422665877423,0.19020591941144732,0.7024134430620406,0.021635995709544255,256
fGn,0.9999033384852939,0.5027555002106561,0.6446880112091701,0.6237738652361764,0.5714299228456285,0.06540517848787002,0.039047567484279476,0.05588901864571704,0.27881191070708966,0.4618892196151945,0.7141591840320163,0.026659819764447295,256
iid Gaussian,0.9999274442593257,0.28247423221667606,0.42005646030108135,0.7469112008810044,0.4428460756937663,0.011910702525468272,0.049917798054714996,0.04902808632080754,0.03001583890290931,0.17616960518062114,0.7052454054355621,0.015580762123863678,256
iid Student-t,0.9969567636648814,0.29377634657753837,0.37891500062412686,0.45611356165674,0.3172519445419312,0.003956645789164921,0.27253655456006526,0.28644042222036253,0.04635480166826811,0.15949133742186758,0.44158454140027364,0.7461933549985083,256
"GARCH(1,1)",0.9959049304326375,0.28784762223561605,0.36877634525299074,0.4725030745069186,0.30583390494187673,0.00020632455004185128,0.2761992801601688,0.30013996586203573,0.06580509124323726,0.14794949814677238,0.4551067680120468,0.7446054956992156,512
Low-lambda2 MRW,0.9998843709627787,0.5127756079037984,0.6538052300612132,0.6243115832408269,0.5877492785453796,0.0585572194509344,0.03802999543646971,0.05418619277576606,0.2799528194591403,0.445650431762139,0.7138998866081238,0.01308313007466495,512
MRW,0.9998681286970774,0.5272541170318922,0.6605867721140385,0.6194244839251042,0.600881639868021,0.05597951571962767,0.03828844437375665,0.05305122233306368,0.266415013683339,0.445026535106202,0.7163461710015933,0.016487930389121174,512
Regime-switching Gaussian,0.996845950682958,0.28549494842688244,0.3644558385014534,0.43499791373809177,0.2945683017373085,1.0000003385357559e-06,0.3048843225153784,0.3292278583782415,0.06914540339882175,0.1521377120167017,0.4162295083204905,0.8544637112878263,512
Shuffled MRW,0.9999156951904297,0.2600464491380586,0.3900985360145569,0.7623725665940179,0.41866010924180347,0.0023640613492009127,0.04986633681174782,0.046058950821558635,0.007870172626442379,0.11190543356868955,0.7200086520777809,0.005736258874336878,512
fGn,0.9999445875485738,0.5318499366442363,0.6611756914191775,0.6227350837654537,0.6001271191570494,0.05798531170391167,0.038131399783823225,0.05309312182168166,0.27160115645836214,0.4556568955381711,0.7178162621127234,0.016642934196230877,512
iid Gaussian,0.999975006779035,0.25279172708590825,0.38135948876539866,0.7666785548130671,0.42004160235325494,0.00022253125437903993,0.051233396554986634,0.047072828747332096,0.0011087125322471062,0.09536040797829629,0.7137548426787058,0.008446458949280592,512
iid Student-t,0.995909356408649,0.2829524111416605,0.36135629183716245,0.3926656633615494,0.29326476885212793,1.0000003385357559e-06,0.34420457283655803,0.3663686795367135,0.057805949056314095,0.1517653643257088,0.385105264849133,0.9202702364159955,512
"GARCH(1,1)",0.9961647401253383,0.28160974830389024,0.359431184331576,0.4151187817255656,0.28649547894795735,1.0000003385357559e-06,0.3353252947951357,0.37013966956486305,0.08750981707125902,0.15981964084009329,0.40574862658977506,0.9068399172276258,1024
Low-lambda2 MRW,0.9998728493849437,0.529692734281222,0.6562467704216639,0.6248271365960439,0.5975963612397511,0.050466166303522186,0.040762317987779774,0.05456445117791494,0.25862491776545843,0.4375917968650659,0.7108615875244141,0.011629656950632731,1024
MRW,0.999865393837293,0.5295728584130605,0.6555214030047257,0.6257109776139259,0.6084077308575312,0.048284218798471557,0.037920024059712884,0.05077757694137593,0.24665704637688274,0.4222010564059019,0.7189276998241743,0.012010160235270935,1024
Regime-switching Gaussian,0.9961406926314036,0.2839300975203514,0.3631219123800596,0.3873091280460358,0.28370277732610705,1.0000003385357559e-06,0.35304995328187944,0.3834053890158733,0.07808985946079096,0.15977614149451255,0.3808733195066452,0.9656480715920528,1024
Shuffled MRW,0.9999638299147288,0.24467822048399185,0.3670426030953725,0.7742208699385326,0.3921351760625839,0.0001807917821376274,0.0494678936070866,0.04422456646958987,0.0,0.09116646043128437,0.7310636586613125,0.002342943371170097,1024
fGn,0.9999299559328291,0.5141561662157377,0.6389141642385059,0.6354083789719476,0.5955684983068043,0.04541011987773042,0.03822908794714345,0.049953759875562456,0.23139950879138066,0.4065101980335183,0.7206168366803063,0.012138824139644082,1024
iid Gaussian,0.9999461024999619,0.24671847795446714,0.3702440083026886,0.7723022113243739,0.39516819367806116,1.0000003385357559e-06,0.05063200071454048,0.04511936319371065,0.0,0.08887135523060957,0.7299707959095637,0.0009763280434223513,1024
iid Student-t,0.9955947266684638,0.28040654162565865,0.35969670348697236,0.36404872900909846,0.2833597057395511,1.0000003385357559e-06,0.3757567099399037,0.40457469903760485,0.07124924403097894,0.15915939940346613,0.36573902236090766,0.9913498096995883,1024
"GARCH(1,1)",0.9952000776926676,0.28094642559687294,0.36043187280495964,0.37371730506420137,0.2812703177332878,1.0000003385357559e-06,0.3808187335729599,0.4218941108013193,0.09632083463172118,0.16648991778492928,0.3789376278718313,0.9833333333333333,2048
Low-lambda2 MRW,0.9998586654663086,0.5214978327353795,0.6413513064384461,0.633815985918045,0.6077468514442443,0.03903199126022325,0.038239677312473457,0.04824806141356627,0.2112307623649637,0.3870617851614952,0.7215736707051595,0.00861963639035821,2048
MRW,0.9997326731681824,0.5283027820289135,0.6515452096859614,0.6249691406885783,0.6159959398210049,0.040024061986878225,0.03716673520393669,0.047619420445213716,0.2194481257504473,0.3966767611602942,0.7238457376758257,0.010259618866742433,2048
Regime-switching Gaussian,0.9956316192944844,0.284375640253226,0.36414145976305007,0.3743770604332288,0.2812170053521792,1.0000003385357559e-06,0.3707587033510208,0.4067651915053527,0.08865135461091996,0.16450233260790506,0.37390776375929513,0.9956591288248698,2048
Shuffled MRW,0.9999664094712999,0.242111812863085,0.3632642189661662,0.7778754737642076,0.38467413220140667,1.0000003385357559e-06,0.048729381751683024,0.04286918991969691,0.0,0.0877090185880661,0.7389786415629916,0.0002087116241455078,2048
fGn,0.9997683299912347,0.5452956762578752,0.6689738872978422,0.6180247379673852,0.6238021287653182,0.04493753653870145,0.036884588955177204,0.04883996186157068,0.24128914546324975,0.4306354146036837,0.7212257087230682,0.011095097555355298,2048
iid Gaussian,0.9999690572420756,0.2440175620218118,0.366322069366773,0.776138440767924,0.3877497951189677,1.0000003385357559e-06,0.048887575045228004,0.04332714509218931,0.0,0.08784191558758418,0.7360377122958501,0.0005542728739480178,2048
iid Student-t,0.995066022210651,0.27912299268775514,0.35732445882426367,0.3608454197645187,0.283035338918368,1.0000003385357559e-06,0.385254697004954,0.41473977350526386,0.07107036784291268,0.1595016414920489,0.3628393636809455,0.9970235526561737,2048
